39,24,31,5,36,39,29,29,35,34,37,18,35,5,25,28,38,37,29,29,15,27,35,35,28,27,35,18,28,31,24,39,24,26,34,33,18,39,9,26,35,14,33,35,25,36,38,27,35,20,35,33,32,29,36,9,35,34,31,34,36,21,40,37,39,24,29,8,38,37,40,21,39,29,5,34,11,38,35,20,37,37,35,25,34,32,36,36,31,31,11,23,12,36,30,22,36,37,34,33,35,33,39,9,39,33,22,28,21,16,35,12,31,38,37,29,25,33,40,36,27,25,29,19,3,37,30,36,39,33,39,0,39,40,29,34,28,29,3,25,35,23,38,39,27,34,25,9,17,3,31,37,34,27,38,37,24,11,33,26,34,11,33,37,29,27,35,40,38,36,39,29,36,33,39,22,39,19,39,32,38,35,31,28,27,28,7,27,28,26,37,36,19,35,33,18,32,34,30,38,28,26,5,20,34,40,6,33,35,36,38,31,13,31,38,40,16,30,29,28,25,38,36,40,28,26,39,36,40,36,25,33,21,17,39,28,32,24,34,24,32,36,33,14,4,4,5,36,21,36,31,13,38,27,37,37,20,31,33,32,36,32,40,24,32,36,22,37,37,20,37,39,34,4,33,36,19,34,28,37,8,39,36,38,37,29,7,32,11,37,24,37,38,39,38,36,29,35,21,37,28,29,16,29,38,38,22,40,18,29,37,25,8,5,34,9,34,12,27,39,10,35,31,37,39,40,34,26,38,34,24,4,40,37,3,32,27,33,32,36,40,28,32,26,38,31,39,37,38,5,27,31,29,29,37,32,24,29,35,24,17,15,39,34,35,14,35,12,35,34,37,39,37,30,20,33,37,35,36,12,32,38,9,37,22,37,37,16,26,24,39,38,34,34,25,40,6,35,15,7,29,32,33,34,26,22,3,36,37,10,25,11,29,37,38,31,29,18,10,18,38,14,6,35,39,39,27,37,8,26,37,32,28,36,37,13,37,38,11,36,29,38,35,23,39,35,25,14,25,34,36,39,37,16,39,24,36,37,39,36,14,37,40,32,30,26,38,24,28,24,36,37,38,33,37,36,39,31,31,34,32,21,39,39,37,35,27,22,29,29,30,21,2,30,23,33,37,38,38,7
39,37,29,29,27,34,36,10,38,32,26,25,25,15,32,25,27,29,37,29,32,39,13,32,35,38,34,33,35,6,27,21,34,30,3,16,35,35,19,32,5,32,28,33,33,27,39,26,6,31,38,36,18,24,31,12,34,27,35,36,19,36,28,31,33,9,31,39,35,11,17,23,32,33,31,24,31,32,36,26,30,30,24,30,27,37,26,27,6,20,34,13,34,3,37,35,36,6,32,37,15,21,9,34,26,26,32,22,32,18,31,27,21,30,29,29,9,27,39,30,36,34,39,25,30,26,25,35,34,30,21,31,36,4,31,16,39,21,32,36,18,20,31,28,34,17,22,35,30,26,36,31,17,3,20,21,35,14,15,19,37,38,22,31,23,36,37,27,33,32,27,32,35,32,27,20,7,26,33,37,32,35,29,35,26,26,29,26,37,29,36,38,34,31,25,39,19,35,27,32,36,36,29,37,36,25,10,16,24,23,29,7,27,25,13,21,32,21,13,35,22,30,6,11,22,39,26,25,38,18,40,19,32,39,39,17,18,31,38,36,27,35,35,18,26,31,38,33,30,38,35,12,34,35,26,37,23,30,29,28,23,40,37,31,25,12,35,31,10,34,35,20,28,8,34,35,5,27,10,30,34,22,16,27,32,26,35,36,30,28,37,32,38,25,29,37,39,35,29,38,27,39,17,17,26,33,30,36,37,32,7,28,33,22,26,40,24,20,30,21,24,2,32,20,37,33,20,37,38,14,5,16,10,12,35,8,28,25,16,37,16,29,32,33,23,29,33,4,24,35,20,25,32,37,39,8,30,19,11,35,20,32,26,7,32,18,38,37,34,3,6,34,3,23,8,39,10,39,24,3,26,29,24,12,30,24,39,31,37,18,20,31,18,24,35,32,27,29,30,35,39,33,31,27,20,29,29,36,4,26,36,26,6,39,14,35,27,23,13,38,34,32,20,30,25,35,34,22,36,34,39,33,29,32,21,3,14,30,32,26,3,33,38,7,36,22,26,30,29,15,31,34,34,29,37,30,31,37,25,28,27,37,26,3,17,40,8,38,40,27,27,18,15,17,39,40,33,18,32,38,31,28,34,21,37,38,10,24,35,39,17,35,37,28,36,38,28,18,36,30
23,31,38,22,37,16,34,32,13,22,36,33,34,20,29,14,35,29,30,38,12,9,28,33,29,37,31,29,37,27,34,27,22,15,10,4,16,17,36,27,36,5,37,30,37,30,18,24,5,34,30,14,16,38,36,26,7,16,31,28,31,4,40,20,21,35,31,4,29,36,32,27,37,6,32,26,21,22,6,25,33,30,23,7,16,29,16,23,20,23,26,19,34,27,30,10,34,31,31,30,16,27,15,29,25,32,10,15,6,30,37,30,16,35,30,35,18,33,23,6,36,31,20,6,25,16,7,8,22,5,40,12,33,29,19,22,7,30,28,29,24,29,38,19,31,29,27,21,17,37,32,8,37,30,3,8,20,36,22,23,6,23,37,14,27,6,13,28,28,24,30,20,17,26,38,6,21,30,2,4,24,39,30,9,15,25,5,33,31,14,36,34,28,30,32,37,30,34,10,28,24,25,28,17,27,21,26,37,17,24,32,10,29,28,17,15,16,12,32,7,27,20,29,37,35,9,38,22,30,23,5,8,21,23,3,18,27,32,17,29,14,19,24,31,6,4,31,31,18,32,32,25,31,18,36,16,4,27,38,38,38,37,10,27,26,37,26,30,30,34,10,24,17,20,26,39,34,29,15,31,39,24,6,35,28,13,33,34,12,29,34,28,20,19,16,14,25,33,7,9,23,29,20,21,31,20,5,30,29,34,37,21,29,33,28,40,8,29,35,10,23,36,28,31,33,16,28,29,26,40,24,31,29,33,32,24,10,30,16,10,37,30,25,6,4,7,30,21,25,24,16,17,33,23,6,18,27,12,38,21,26,24,24,20,29,18,33,8,4,24,10,22,5,36,31,19,22,29,18,31,11,28,29,32,22,16,30,18,21,26,5,11,36,29,23,9,6,21,22,35,37,21,39,31,20,33,40,28,27,26,30,19,27,24,31,35,28,5,3,27,33,36,28,28,6,11,6,11,13,33,13,38,29,16,17,23,2,29,24,39,39,26,22,20,30,19,37,30,19,19,29,25,9,3,19,27,8,32,38,21,27,37,18,35,34,37,27,16,12,13,39,26,6,11,35,27,5,39,36,12,33,36,19,33,8,31,37,36,30,37,33,3,25,20,24,21,3,4,6,28
20,23,24,33,3,19,36,26,15,31,30,34,27,21,23,29,23,38,18,25,24,9,20,4,29,34,30,34,30,5,36,14,7,12,29,34,18,34,37,9,11,24,25,4,34,21,29,32,19,21,21,31,12,21,34,23,26,24,27,8,37,11,18,20,32,27,11,30,34,2,30,33,32,17,29,19,34,33,20,29,8,29,15,10,31,21,40,7,16,30,24,27,37,15,26,21,22,34,20,28,32,16,10,23,31,10,35,6,15,17,21,18,4,8,21,23,36,9,31,29,23,13,31,24,30,28,36,26,10,19,27,7,8,30,37,16,24,36,36,33,26,34,25,5,20,24,33,14,24,15,21,24,36,31,13,29,21,5,9,10,27,5,18,11,32,27,31,23,32,13,27,20,20,25,40,15,5,29,27,34,28,31,24,14,21,35,23,31,11,35,2,10,36,21,19,32,15,35,12,26,20,9,28,36,16,38,32,30,9,29,33,35,30,18,27,25,12,12,23,30,24,35,24,3,32,23,16,35,13,26,18,20,35,24,24,17,31,9,31,22,4,9,19,29,36,4,33,37,20,26,5,25,36,21,31,16,33,36,15,36,23,40,34,15,32,24,13,25,31,26,14,24,7,32,19,7,33,27,23,29,25,35,28,36,18,37,19,27,10,26,32,7,23,20,7,32,26,9,17,27,31,19,23,28,12,26,32,38,10,31,18,29,24,29,31,10,33,25,15,32,33,29,35,18,30,15,6,22,34,17,36,27,12,25,24,20,37,12,28,23,30,9,25,27,33,37,21,24,12,33,14,20,17,20,30,33,29,19,35,19,18,6,23,31,22,20,23,11,18,22,24,6,29,23,25,2,34,16,37,17,22,38,11,25,32,39,32,29,12,23,24,25,23,34,20,16,17,35,33,25,10,32,35,25,22,20,5,21,10,32,27,29,14,27,30,16,12,3,6,34,17,24,34,19,25,3,36,33,14,29,21,36,18,25,36,26,16,37,21,36,30,31,30,37,30,33,24,28,20,30,2,32,22,25,17,7,33,6,18,32,12,11,35,17,31,22,5,25,20,10,31,34,8,32,4,29,18,26,24,23,16,16,37,8,5,4,37,21,25,27,34,32,24,5,17,31,31,19,32,24
31,24,11,36,33,17,33,19,21,20,36,29,27,29,25,20,22,16,29,4,13,20,24,19,18,35,16,28,24,26,19,5,27,28,26,18,26,5,26,27,34,24,23,27,24,15,11,10,12,38,24,14,36,14,24,18,30,6,24,36,17,27,25,15,28,11,17,32,21,13,14,12,38,30,9,31,15,7,27,39,35,12,13,33,18,27,14,26,29,31,25,11,9,8,26,20,31,19,11,9,33,7,12,35,35,12,4,7,13,11,13,33,13,31,14,23,17,29,22,25,6,28,9,19,29,15,35,21,25,11,14,5,25,20,15,32,27,10,38,28,36,26,29,30,25,32,8,8,32,21,36,5,33,25,8,21,10,27,22,37,25,27,32,14,19,14,16,11,19,10,32,6,16,18,27,27,26,29,8,7,18,10,28,34,33,19,28,35,22,5,36,17,31,6,33,17,10,28,22,30,5,8,12,10,28,12,5,34,16,28,7,36,28,6,3,34,23,35,9,16,13,20,39,14,25,19,21,23,22,36,25,22,28,36,39,21,31,32,23,30,25,11,22,20,17,33,7,27,38,35,17,35,26,39,13,37,8,9,35,4,32,12,29,11,35,11,39,11,32,9,22,3,26,32,24,34,23,21,19,29,37,17,19,29,37,25,15,33,35,27,26,18,6,31,22,27,18,30,32,30,20,35,38,27,26,24,20,30,30,8,38,18,15,7,23,7,30,36,15,5,32,31,18,30,19,25,31,21,26,32,22,39,26,20,37,12,29,23,38,16,14,34,32,15,9,21,27,20,5,7,28,7,11,35,18,21,35,20,6,4,14,33,25,6,20,26,32,32,22,21,26,5,7,33,17,14,25,19,32,21,33,23,24,23,20,15,24,20,6,28,28,33,6,22,7,30,29,30,34,3,26,28,26,33,24,23,18,15,36,14,19,17,23,30,33,30,19,36,24,16,39,9,29,8,14,16,34,16,26,32,14,8,10,14,23,21,32,25,33,30,9,22,12,12,36,22,33,17,25,23,22,26,19,30,24,24,16,4,6,35,3,18,10,31,30,12,27,14,32,14,6,32,10,24,22,16,18,25,19,32,29,30,33,21,30,26,21,30,29,21,32,6,13,26,29,33,33,25,23,32
28,29,19,17,7,33,26,29,22,27,31,19,27,9,36,39,32,26,21,11,22,8,18,37,18,15,23,26,17,37,29,9,31,12,18,12,21,18,30,22,32,8,38,8,6,27,16,9,20,25,26,29,17,37,7,4,28,34,12,15,2,31,19,7,13,7,33,11,16,21,27,20,22,28,5,28,34,15,11,32,13,22,10,39,30,32,29,9,37,36,19,5,20,26,32,32,22,33,36,21,21,32,10,31,14,37,3,32,15,4,13,15,28,7,18,5,10,18,15,18,4,25,25,21,40,12,29,15,33,24,10,27,16,29,11,12,25,36,17,22,19,18,24,27,10,29,28,8,25,3,18,29,22,35,32,35,37,20,21,6,35,14,30,10,20,35,20,36,24,21,23,25,30,26,22,20,12,15,32,27,34,24,29,26,36,16,16,12,36,19,32,33,38,22,34,34,34,32,6,38,8,11,17,30,31,28,14,30,9,13,11,18,21,34,28,35,37,18,26,18,19,11,32,16,15,21,30,17,23,25,24,34,23,16,29,28,35,27,35,16,14,24,18,33,31,28,18,8,8,12,14,25,23,24,31,18,27,25,34,22,22,6,5,20,3,35,20,18,32,23,32,22,17,27,31,33,32,24,25,37,30,12,30,20,30,32,24,13,23,33,26,26,18,10,15,27,27,18,26,31,15,26,10,16,11,32,34,6,23,29,9,19,35,2,4,17,3,35,22,7,28,11,27,28,28,6,29,34,26,39,16,37,18,23,22,36,29,30,34,31,23,21,20,19,7,16,31,18,35,20,8,30,2,17,29,20,16,34,13,29,26,25,21,17,4,39,28,18,10,20,32,30,32,17,38,4,9,25,28,40,20,37,22,2,2,23,29,2,20,9,32,19,13,15,6,28,13,30,17,30,8,35,29,17,10,20,8,34,14,23,11,33,20,33,13,34,28,22,7,17,29,7,19,21,20,31,35,12,20,29,13,9,14,20,35,8,27,28,22,11,26,7,31,6,29,13,11,10,2,3,24,29,18,5,10,28,29,34,26,28,24,23,25,3,14,11,30,26,16,27,10,9,38,38,7,25,21,11,26,23,23,12,25,22,16,26,24,28,20,23,29,16,8,27,21,19,27,3,33,27
6,34,18,38,29,32,15,4,26,19,31,27,4,4,8,5,33,27,15,14,15,20,3,31,12,15,5,19,6,4,32,25,6,17,18,35,6,18,23,25,19,31,12,30,35,6,9,29,16,12,29,19,21,3,24,35,5,3,29,36,16,32,35,16,21,18,8,26,8,28,16,20,19,7,39,14,13,4,14,30,23,29,5,24,3,15,15,35,9,5,37,16,23,34,28,14,28,11,29,16,7,28,30,24,23,12,26,28,5,17,12,12,30,34,38,20,24,24,17,12,22,32,5,9,25,26,16,10,32,40,21,37,19,19,30,32,18,18,3,6,25,29,15,26,25,26,33,23,29,21,30,30,15,31,29,35,30,34,35,16,31,23,17,5,27,6,26,8,14,32,16,33,20,17,6,21,4,21,24,26,6,23,27,11,36,10,28,18,29,37,18,28,17,21,32,11,34,14,14,33,9,18,16,27,22,14,3,22,24,12,33,24,7,17,13,19,15,16,27,29,17,8,8,16,11,14,14,25,16,39,21,7,6,9,31,20,25,28,33,32,34,21,27,24,30,6,11,18,37,18,21,27,6,11,25,19,31,30,20,34,26,32,28,3,38,25,35,22,7,30,19,9,24,15,12,5,34,38,29,25,21,14,16,19,26,22,31,28,15,22,18,14,20,37,22,16,33,30,34,6,20,17,27,29,19,35,18,27,14,18,6,16,18,34,23,14,8,18,31,36,31,6,21,19,9,27,12,23,23,25,29,9,26,36,13,3,12,19,20,37,18,34,33,21,26,22,25,23,31,28,24,29,29,12,19,10,27,26,31,7,30,19,27,26,19,9,21,27,10,24,13,20,31,6,29,16,12,12,15,16,11,34,29,38,24,13,30,28,16,16,7,26,23,21,35,30,27,13,34,11,33,21,20,30,28,9,36,35,12,19,9,14,12,22,22,29,25,13,25,13,6,21,3,17,20,32,16,16,24,12,34,8,34,30,20,6,33,23,35,11,21,15,6,34,39,20,31,35,10,17,19,34,32,20,31,13,18,11,33,24,24,30,17,23,22,26,33,25,27,30,38,25,17,31,33,25,37,27,17,31,11,24,28,13,16,29,25,38,15,23,4,34,24,35,28,31,16,15,6,19
23,37,14,29,22,18,17,11,31,18,24,17,12,28,30,17,35,14,9,8,33,28,24,4,20,27,17,10,17,4,32,15,6,10,18,4,9,34,19,16,19,35,5,30,13,20,19,19,16,29,16,37,21,12,25,8,31,15,25,17,15,28,25,33,11,24,26,26,19,21,7,28,29,22,19,10,5,25,23,4,26,21,20,14,23,30,8,28,23,29,10,21,8,27,34,11,24,5,13,25,23,31,29,16,19,28,5,15,10,11,10,9,28,17,18,7,33,28,29,28,23,6,32,19,12,29,36,23,36,10,23,15,21,25,15,35,4,17,17,23,27,10,33,37,33,15,19,31,22,28,34,10,20,8,15,12,22,20,26,17,18,18,7,16,10,24,22,26,21,16,19,27,7,24,23,4,29,2,28,8,32,19,16,14,34,25,12,16,16,8,16,29,28,6,27,25,5,10,14,37,31,25,15,29,33,20,10,17,21,23,35,7,28,22,27,14,33,25,11,33,25,15,2,18,14,16,24,3,9,34,6,13,20,23,13,17,19,23,4,11,11,31,26,15,24,20,27,33,21,27,40,4,15,12,29,5,12,4,14,14,14,7,33,25,11,26,25,24,11,2,5,12,10,23,11,30,10,27,17,28,16,37,12,11,29,27,24,17,28,9,27,30,26,3,13,18,23,4,26,11,28,4,8,36,23,11,18,29,22,30,27,25,12,32,10,22,30,36,33,8,18,20,30,18,11,5,27,37,33,18,30,15,35,37,35,18,4,11,10,35,31,13,20,16,32,34,8,30,27,21,34,31,31,15,6,4,38,24,14,31,10,4,4,19,27,6,36,27,13,34,18,31,25,34,18,22,5,17,18,12,21,5,36,3,10,24,5,7,18,22,32,34,26,16,18,26,11,31,10,10,27,20,17,15,32,5,11,14,12,29,36,11,35,7,6,18,21,32,27,21,13,32,14,29,7,5,12,32,3,17,21,2,2,17,25,31,34,29,16,20,31,38,4,9,18,29,9,28,27,30,13,2,21,17,7,20,33,24,32,30,27,14,22,25,19,21,7,13,29,20,16,6,26,17,25,7,16,6,20,23,18,29,33,26,10,27,23,36,4,7,6,4,31,16,13,4,26,35,28,14
23,30,18,25,21,24,10,9,11,6,24,24,21,21,24,30,11,15,29,9,16,14,23,28,15,14,19,25,34,16,13,14,31,14,34,5,18,26,19,29,30,27,11,13,17,18,10,25,29,22,6,30,8,20,25,8,28,17,12,30,24,35,35,5,31,26,30,17,17,3,26,12,8,30,17,6,32,22,20,4,17,6,14,12,9,13,27,7,3,28,16,15,28,28,34,28,23,22,16,17,17,30,21,34,18,26,20,30,4,11,31,6,27,34,36,32,24,23,32,27,14,9,4,12,6,20,18,19,5,21,19,28,24,2,7,19,5,15,19,23,17,25,29,27,25,4,15,21,27,14,20,11,23,10,21,11,30,18,3,17,12,14,26,12,36,15,24,22,27,20,25,35,36,12,21,38,22,3,23,25,40,9,37,12,9,32,4,14,31,17,18,11,22,13,29,23,9,15,34,18,6,7,32,26,16,15,31,25,22,5,11,9,26,13,2,22,11,7,32,10,20,32,10,24,33,8,27,17,7,7,28,19,26,5,21,25,16,7,9,28,13,10,18,26,31,8,25,10,22,25,35,31,30,5,27,29,28,26,30,6,31,7,28,13,32,6,23,33,31,9,33,7,32,24,23,25,20,37,19,11,28,10,11,31,26,35,27,32,33,9,28,15,31,22,27,19,27,19,28,26,9,15,16,24,24,20,25,29,21,4,27,29,25,36,9,17,30,30,4,26,20,12,28,12,28,20,28,21,15,18,10,26,26,7,15,12,26,27,27,24,8,27,10,19,27,30,18,27,23,21,25,11,31,28,20,30,30,7,6,25,33,35,10,26,18,26,5,29,18,20,13,6,14,34,14,32,11,8,24,26,27,6,20,18,27,25,15,7,10,29,29,23,22,9,25,16,22,19,11,23,16,36,26,20,31,31,16,30,38,33,23,25,1,31,23,7,19,8,17,14,10,18,23,34,37,29,16,25,23,15,19,5,12,30,11,11,7,26,30,6,6,17,31,12,22,4,7,30,16,16,25,17,9,17,26,13,14,20,27,22,18,25,19,24,35,19,11,23,18,7,13,9,26,15,15,24,33,19,27,32,36,9,24,26,19,25,6,20,28,26,36,31,12,32,17,20,27,16,33,29
9,15,22,21,21,29,33,13,26,5,21,17,7,11,15,18,29,13,23,13,22,31,26,29,17,16,29,17,17,9,34,13,14,13,16,27,38,22,31,14,6,7,10,32,26,23,10,29,35,8,24,23,23,32,31,15,23,19,18,28,9,18,23,25,34,26,23,35,35,31,15,33,37,25,22,11,13,23,27,26,13,17,11,29,27,6,15,21,27,13,30,7,25,9,7,13,18,13,4,4,17,28,22,23,5,18,5,21,20,25,33,18,3,27,16,17,18,15,24,7,10,15,11,28,23,24,19,9,15,13,18,15,24,11,23,12,35,25,37,34,29,29,14,24,24,7,4,37,18,31,19,30,10,8,21,26,17,20,14,20,13,36,14,30,30,18,27,24,5,31,34,11,24,15,7,27,25,25,16,7,18,11,21,23,13,22,36,29,3,22,31,11,30,7,23,31,7,11,17,26,20,5,32,13,4,29,6,22,33,20,16,17,29,12,20,21,29,29,22,20,31,21,7,33,26,26,28,14,18,24,26,29,36,2,23,24,23,35,22,25,13,32,16,27,12,34,29,37,26,17,17,6,23,7,36,23,26,19,6,8,19,13,28,22,24,22,9,8,25,24,8,23,6,23,25,20,27,18,4,9,25,24,22,17,6,12,5,20,9,30,22,20,9,3,10,30,20,26,27,11,13,26,15,27,40,14,23,31,17,24,8,9,5,28,17,16,35,31,14,29,4,5,35,23,33,11,14,10,22,16,17,5,37,32,29,19,14,24,23,4,22,27,13,8,26,36,5,18,17,14,20,24,24,27,9,22,23,6,20,13,12,28,38,17,27,27,13,31,2,5,20,12,25,24,16,13,22,5,28,23,23,10,12,22,13,14,16,10,17,10,16,13,14,34,19,15,24,18,13,36,23,5,5,20,11,17,3,16,23,18,9,12,25,22,16,7,13,17,24,14,10,28,17,26,35,24,25,5,12,29,4,27,32,21,10,23,9,10,26,6,14,3,27,17,11,20,36,10,20,20,22,33,24,34,31,11,22,8,32,11,24,26,16,8,19,30,35,7,13,24,13,19,36,21,29,21,31,7,17,22,14,13,26,2,30,32,9,7,4,35,34,18,7,11,34,15,19,14,10,35
